period,MBBL,MBBL/D,year,month,quarter,dayofyear,weekofyear,lag_1,lag_2,lag_3,rolling_mean_3,rolling_mean_6,rolling_std_3,rolling_std_6,target
1991-08-01,104720,3378,1991,8,3,213,31,3362.0,3381.0,3433.0,3392.0,3431.0,36.75595189899733,49.32747712984634,3403.0
1991-09-01,102079,3403,1991,9,3,244,35,3378.0,3362.0,3381.0,3373.6666666666665,3414.5,10.214368964099878,47.382486215851976,3408.0
1991-10-01,105650,3408,1991,10,4,274,40,3403.0,3378.0,3362.0,3381.0,3405.8333333333335,20.66397831980627,43.050745250947905,3385.0
1991-11-01,101539,3385,1991,11,4,305,44,3408.0,3403.0,3378.0,3396.3333333333335,3394.1666666666665,16.072751268365074,25.482673852285227,3419.0
1991-12-01,106000,3419,1991,12,4,335,48,3385.0,3408.0,3403.0,3398.6666666666665,3386.1666666666665,12.096831541140366,16.96368670607581,3426.0
1992-01-01,106196,3426,1992,1,1,1,1,3419.0,3385.0,3408.0,3404.0,3392.5,17.34935157293746,21.21084628192054,3421.0
1992-02-01,99221,3421,1992,2,1,32,5,3426.0,3419.0,3385.0,3410.0,3403.1666666666665,21.931712199492726,18.75544365409651,3413.0
1992-03-01,105808,3413,1992,3,1,61,9,3421.0,3426.0,3419.0,3422.0,3410.3333333333335,3.605551275652435,15.068731421789664,3383.0
1992-04-01,101477,3383,1992,4,2,92,14,3413.0,3421.0,3426.0,3420.0,3412.0,6.557438524405859,14.642404174020557,3350.0
1992-05-01,103837,3350,1992,5,2,122,18,3383.0,3413.0,3421.0,3405.6666666666665,3407.8333333333335,20.033305601790317,18.935856639244275,3334.0
1992-06-01,100033,3334,1992,6,2,153,23,3350.0,3383.0,3413.0,3382.0,3402.0,31.51190251320017,29.70521839669432,3335.0
1992-07-01,103399,3335,1992,7,3,183,27,3334.0,3350.0,3383.0,3355.6666666666665,3387.8333333333335,24.98666310924313,38.840271197069185,3182.0
1992-08-01,98631,3182,1992,8,3,214,31,3335.0,3334.0,3350.0,3339.6666666666665,3372.6666666666665,8.962886439916781,38.72294754614882,3214.0
1992-09-01,96415,3214,1992,9,3,245,36,3182.0,3335.0,3334.0,3283.6666666666665,3332.8333333333335,88.04733575375782,79.99354140592588,3325.0
1992-10-01,103081,3325,1992,10,4,275,40,3214.0,3182.0,3335.0,3243.6666666666665,3299.6666666666665,80.6990293208973,81.35027146028102,3286.0
1992-11-01,98569,3286,1992,11,4,306,44,3325.0,3214.0,3182.0,3240.3333333333335,3290.0,75.04887296512226,72.42375300959418,3303.0
1992-12-01,102379,3303,1992,12,4,336,49,3286.0,3325.0,3214.0,3275.0,3279.3333333333335,56.31163290121911,66.27116014271458,3282.0
1993-01-01,101727,3282,1993,1,1,1,53,3303.0,3286.0,3325.0,3304.6666666666665,3274.1666666666665,19.553345834791266,62.242804135589004,3289.0
1993-02-01,92080,3289,1993,2,1,32,5,3282.0,3303.0,3286.0,3290.3333333333335,3265.3333333333335,11.150485789192205,55.25094267667516,3263.0
1993-03-01,101162,3263,1993,3,1,60,9,3289.0,3282.0,3303.0,3291.3333333333335,3283.1666666666665,10.692676621640416,37.3385413033415,3250.0
1993-04-01,97486,3250,1993,4,2,91,13,3263.0,3289.0,3282.0,3278.0,3291.3333333333335,13.453624047135579,20.944370763080645,3239.0
1993-05-01,100422,3239,1993,5,2,121,17,3250.0,3263.0,3289.0,3267.3333333333335,3278.8333333333335,19.8578280115177,19.13548187690412,3230.0
1993-06-01,96904,3230,1993,6,2,152,22,3239.0,3250.0,3263.0,3250.6666666666665,3271.0,12.01388086069812,24.486731100631165,3193.0
1993-07-01,98984,3193,1993,7,3,182,26,3230.0,3239.0,3250.0,3239.6666666666665,3258.8333333333335,10.016652800964556,23.523746866968658,3198.0
